"",0
Start,0.0
End,1283.0
Duration,1283.0
Exposure Time [%],72.663551
Equity Final [$],9456.4556
Equity Peak [$],14288.3236
Return [%],-5.435444
Buy & Hold Return [%],202.341206
Return (Ann.) [%],0.0
Volatility (Ann.) [%],NaN
Sharpe Ratio,NaN
Sortino Ratio,NaN
Calmar Ratio,0.0
Max. Drawdown [%],-64.396288
Avg. Drawdown [%],-17.347956
Max. Drawdown Duration,875.0
Avg. Drawdown Duration,154.666667
# Trades,7.0
Win Rate [%],28.571429
Best Trade [%],99.586046
Worst Trade [%],-25.30467
Avg. Trade [%],-0.233858
Max. Trade Duration,307.0
Avg. Trade Duration,133.142857
Profit Factor,1.492148
Expectancy [%],5.888016
SQN,-0.084138
_strategy,SmaCross
_equity_curve,"Equity  DrawdownPct  DrawdownDuration
0     10000.0000     0.000000               NaN
1     10000.0000     0.000000               NaN
2     10000.0000     0.000000               NaN
3     10000.0000     0.000000               NaN
4     10000.0000     0.000000               NaN
...          ...          ...               ...
1279   9821.2556     0.312638               NaN
1280   9556.6556     0.331156               NaN
1281   9511.8056     0.334295               NaN
1282   9376.0556     0.343796               NaN
1283   9456.4556     0.338169             875.0

[1284 rows x 3 columns]"
_trades,"Size  EntryBar  ExitBar  EntryPrice  ExitPrice        PnL  ReturnPct  \
0     9       351      564   1036.8696     1300.0  2368.1736   0.253774   
1    -9       564      590   1297.4000     1610.0 -2813.4000  -0.240943   
2     5       590      643   1613.2200     1205.0 -2041.1000  -0.253047   
3    -6       643      781   1202.5900     1385.0 -1094.4600  -0.151681   
4     4       781      931   1387.7700     1245.0  -571.0800  -0.102877   
5    -4       931      976   1242.5100     1353.0  -441.9600  -0.088925   
6     3       976     1283   1355.7060     2705.8  4050.2820   0.995860   

   EntryTime  ExitTime  Duration  
0        351       564       213  
1        564       590        26  
2        590       643        53  
3        643       781       138  
4        781       931       150  
5        931       976        45  
6        976      1283       307"
